Noun,A+N,F+N,all+N,O-Den,Bare Singular,Bare Plural,Non-Denumerators,a/an,number,digits,plural numeral,approximative,comparative,round numbers,imprecise quantifier,precise quantifier,non denumerating quantifier,measure,non quantificational,partitive,the,N/A,Celex_Countable,Celex_Uncountable,Noun Count,Plural Noun Percentage
a-bomb,0.322580645,0,0,0,0.051,0.128,0.677419355,0.258064516,0.064516129,0,0,0,0,0,0,0,0,0,0,0,0.677419355,0,1,0,57,0.123
a-level,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1
aa,0.192982456,0,0.01754386,0.333333333,0.8,0.032,0.368421053,0.087719298,0.157894737,0.280701754,0,0,0,0,0,0,0,0,0.035087719,0,0.315789474,0.105263158,1,0,1021,0.032
abacus,0.542857143,0,0,0,0.164,0.06,0.457142857,0.542857143,0,0,0,0,0,0,0,0,0,0,0,0,0.457142857,0,1,0,95,0.053
abandon,1,0,1,0,0.727,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0
abandonment,0.212328767,0,0,0.01369863,0.394,0.004,0.767123288,0.212328767,0,0.006849315,0,0,0,0,0,0.006849315,0,0,0.054794521,0,0.712328767,0.006849315,0,1,848,0.009
abasement,0,0,0,0,0.533,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,0
abatement,0.189189189,0,0,0,0.636,0.074,0.621621622,0.189189189,0,0,0,0,0,0,0,0,0,0,0.162162162,0,0.459459459,0.189189189,0,1,415,0.07
abattoir,0.583333333,0,0,0.083333333,0,0.25,0.333333333,0.583333333,0.083333333,0,0,0,0,0,0,0,0,0,0.083333333,0,0.25,0,1,0,24,0.333
abbe,0,0,0,0,0.711,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,81,0
abbess,0.107526882,0.010752688,0,0,0.119,0.025,0.88172043,0.107526882,0,0,0,0,0,0,0.010752688,0,0,0,0.010752688,0,0.870967742,0,1,0,125,0.064
abbey,0.063926941,0.00456621,0,0.04109589,0.528,0.014,0.890410959,0.063926941,0.03652968,0,0,0,0,0,0.00456621,0.00456621,0,0,0.01826484,0,0.872146119,0,1,0,797,0.035
abbot,0.077777778,0.022222222,0,0.016666667,0.2,0.058,0.877777778,0.077777778,0,0,0,0,0,0,0.022222222,0.016666667,0,0,0,0,0.877777778,0.005555556,1,0,337,0.139
abbreviation,0.376470588,0.023529412,0,0.082352941,0.073,0.333,0.517647059,0.376470588,0.023529412,0,0,0,0,0,0.023529412,0.058823529,0,0,0.105882353,0,0.411764706,0,1,1,205,0.556
abc,0.092391304,0,0.005434783,0.135869565,0.7,0.011,0.679347826,0.086956522,0,0.130434783,0,0,0,0,0,0.010869565,0,0,0.005434783,0,0.673913043,0.092391304,1,1,3542,0.028
abdication,0.396226415,0,0,0,0.2,0.011,0.58490566,0.396226415,0,0,0,0,0,0,0,0,0,0,0.094339623,0,0.490566038,0.018867925,1,1,98,0.02
abdomen,0.13559322,0.005649718,0,0.005649718,0.039,0.01,0.853107345,0.13559322,0.005649718,0,0,0,0,0.005649718,0,0,0,0,0.005649718,0,0.847457627,0,1,0,722,0.042
abduction,0.136363636,0.006493506,0,0.032467532,0.234,0.122,0.772727273,0.123376623,0.019480519,0.025974026,0,0,0,0,0.006493506,0,0,0,0.051948052,0,0.720779221,0.051948052,1,1,483,0.197
aberration,0.700361011,0.003610108,0,0.036101083,0.135,0.192,0.25631769,0.696750903,0.014440433,0.003610108,0,0,0,0,0.003610108,0.02166065,0,0,0.097472924,0,0.158844765,0.003610108,1,1,473,0.292
abettor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0.714
abeyance,0.2,0,0,0,0.857,0,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0.2,0,1,42,0
abhorrence,0.6875,0,0,0,0.333,0,0.3125,0.6875,0,0,0,0,0,0,0,0,0,0,0.125,0,0.1875,0,0,1,58,0
abilities,0,0,0,0,0.167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0
ability,0.091108328,0.001252348,0.000626174,0.01335838,0.126,0.047,0.893446045,0.090795241,0.002504696,0.001461073,0,0,0,0,0.001252348,0.009810061,0.000104362,0,0.048215404,0,0.845126278,0.000730536,1,1,27835,0.146
abjection,0,0,0,0,0.607,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,28,0.036
abjuration,0.5,0,0,0,0.5,0.167,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,1,6,0.167
ablative,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
ablution,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,1,1,10,0
ablutions,0,0,0,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.75,0,0,0,45,0
abnegation,0.285714286,0,0,0,0.333,0,0.714285714,0.285714286,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0.428571429,0,0,1,18,0
abnormality,0.251572327,0.037735849,0,0.081761006,0.083,0.538,0.622641509,0.245283019,0.018867925,0.006289308,0,0,0,0,0.037735849,0.06918239,0,0,0.245283019,0,0.377358491,0,1,1,615,0.732
abo,0,0,0,0.125,0.591,0,0.875,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.875,0,1,0,36,0.167
abode,0.302631579,0.013157895,0,0.039473684,0.261,0.049,0.644736842,0.289473684,0.013157895,0,0,0,0,0,0.013157895,0.039473684,0,0,0.078947368,0,0.565789474,0,1,0,232,0.112
abolition,0.015873016,0,0,0.003968254,0.288,0,0.976190476,0.015873016,0,0.003968254,0,0,0,0,0,0,0,0,0.003968254,0,0.972222222,0.003968254,0,1,450,0
abolitionist,0.226190476,0.035714286,0,0.107142857,0.024,0.325,0.607142857,0.238095238,0.071428571,0.011904762,0.011904762,0,0,0,0.035714286,0.023809524,0,0,0.023809524,0,0.583333333,0,1,0,272,0.471
abomination,0.6796875,0,0,0.0390625,0.173,0.099,0.28125,0.6796875,0,0,0,0,0,0,0,0.0390625,0,0,0.109375,0,0.171875,0,1,1,195,0.174
aboriginal,0.083333333,0,0,0.208333333,0.319,0.381,0.708333333,0.083333333,0.041666667,0,0.041666667,0,0,0,0,0.125,0,0,0,0,0.708333333,0,1,0,267,0.217
aborigine,0.296296296,0.018518519,0,0,0.215,0.151,0.685185185,0.296296296,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0.685185185,0,1,0,130,0.323
abortion,0.62693683,0.035756853,0.001191895,0.063170441,0.542,0.188,0.251489869,0.623361144,0.026221692,0.021454112,0.003575685,0.003575685,0.003575685,0.020262217,0.008343266,0.015494636,0,0,0.085816448,0,0.165673421,0.022646007,1,1,5975,0.169
abortionist,0.409090909,0.022727273,0,0.022727273,0.018,0.196,0.545454545,0.409090909,0.022727273,0,0,0,0,0,0.022727273,0,0,0,0.022727273,0,0.522727273,0,1,0,58,0.345
about-face,0.8,0,0,0.031578947,0.049,0.025,0.168421053,0.8,0.010526316,0,0,0,0,0,0,0.021052632,0,0,0.105263158,0,0.063157895,0,0,0,126,0.04
above,0.064516129,0,0,0,0.907,0,0.935483871,0.064516129,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0.903225806,0,0,0,469,0
abracadabra,0.25,0,0,0,0.684,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,1,23,0.043
abrasion,0.288888889,0,0,0.111111111,0.282,0.201,0.6,0.288888889,0.066666667,0,0,0,0,0,0,0.044444444,0,0,0.066666667,0,0.533333333,0,1,1,192,0.406
abrasive,1,0,0,0,0.1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,0.708
abridgment,0.705882353,0,0,0,0.2,0.08,0.294117647,0.705882353,0,0,0,0,0,0,0,0,0,0,0.176470588,0,0.117647059,0,1,1,25,0.08
abrogation,0.25,0,0,0,0.393,0.034,0.722222222,0.25,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0.638888889,0.027777778,1,1,91,0.044
abruptness,0.25,0,0,0,0.167,0,0.708333333,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.708333333,0.041666667,0,1,48,0
abscess,0.69047619,0.007936508,0,0.03968254,0.152,0.176,0.261904762,0.69047619,0.015873016,0.023809524,0,0,0,0,0.007936508,0,0,0,0.031746032,0,0.23015873,0,1,0,266,0.263
absence,0.109537856,0.001376598,0,0.006293019,0.098,0.019,0.881809243,0.108947886,0.003343166,0.000393314,0,0,0,0,0.001376598,0.003343166,0,0,0.020058997,0,0.861750246,0.000786627,1,1,7877,0.037
absent-mindedness,1,0,0,0,0.571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
absentee,0.153846154,0,0,0.153846154,0.442,0.192,0.692307692,0.153846154,0,0,0,0,0,0,0,0.153846154,0,0,0.076923077,0,0.615384615,0,1,0,293,0.072
absenteeism,0,0,0,0,0.765,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.75,0,0,1,263,0
absoluteness,0,0,0,0,0.579,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,19,0
absolution,0.363636364,0,0,0.090909091,0.711,0.008,0.545454545,0.363636364,0,0,0,0,0,0,0,0.090909091,0,0,0.090909091,0,0.454545455,0,0,1,129,0.016
absolutism,0.259259259,0,0,0,0.593,0.016,0.740740741,0.259259259,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0.666666667,0,0,1,126,0.016
absorbent,0,0,0,0,0.143,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0.556
absorption,0.072115385,0,0.009615385,0.014423077,0.516,0.001,0.913461538,0.067307692,0,0.014423077,0,0,0,0,0,0.004807692,0,0,0.072115385,0,0.841346154,0,0,1,1049,0.005
abstainer,0.071428571,0,0,0.285714286,0.058,0.538,0.571428571,0.071428571,0,0,0.071428571,0,0,0,0,0.214285714,0,0,0,0,0.571428571,0.071428571,1,0,58,0.793
abstemiousness,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
abstention,0.342105263,0,0,0.394736842,0.443,0.052,0.210526316,0.078947368,0.342105263,0.342105263,0,0,0,0,0,0,0,0,0,0,0.210526316,0.026315789,1,1,123,0.203
abstinence,0.090909091,0,0,0.136363636,0.865,0,0.772727273,0.090909091,0,0,0,0,0,0,0,0.136363636,0,0,0.090909091,0,0.681818182,0,0,1,826,0
abstract,0.031578947,0,0,0.231578947,0.689,0.167,0.536842105,0.031578947,0.010526316,0.052631579,0,0,0,0,0,0.168421053,0,0,0.052631579,0,0.484210526,0.2,1,0,1136,0.251
abstraction,0.5,0.003030303,0,0.060606061,0.39,0.21,0.427272727,0.503030303,0.009090909,0,0,0,0,0,0.003030303,0.051515152,0,0,0.084848485,0,0.342424242,0.006060606,1,1,1192,0.296
abstruseness,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
absurdity,0.116197183,0.007042254,0,0.024647887,0.188,0.066,0.848591549,0.10915493,0.014084507,0,0,0,0,0,0.007042254,0.017605634,0,0,0.049295775,0,0.799295775,0.003521127,1,1,491,0.181
abundance,0.478302797,0,0.00096432,0.00192864,0.384,0.035,0.514946962,0.478302797,0,0.00096432,0,0,0,0,0,0.00096432,0,0,0.027965284,0,0.486981678,0.004821601,0,1,2480,0.053
abuse,0.076754386,0.011695906,0.004385965,0.058479532,0.589,0.103,0.837719298,0.076023392,0.008040936,0.008040936,0.000730994,0,0,0,0.011695906,0.043859649,0,0,0.109649123,0,0.728070175,0.013157895,1,1,11080,0.136
abutment,0.326923077,0,0,0.038461538,0.033,0.082,0.634615385,0.326923077,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0.634615385,0,1,0,61,0.213
abyss,0.245009074,0,0,0.010889292,0.038,0.018,0.744101633,0.245009074,0.003629764,0,0,0,0,0,0,0.007259528,0,0,0.047186933,0,0.696914701,0,1,0,616,0.034
acacia,0.157894737,0.052631579,0,0,0.313,0.104,0.789473684,0.157894737,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0.789473684,0,1,0,145,0.138
academic,0.016233766,0.237012987,0,0.13961039,0.083,0.621,0.571428571,0.022727273,0.051948052,0.032467532,0.003246753,0,0,0,0.230519481,0.058441558,0,0.003246753,0.24025974,0,0.327922078,0.019480519,1,0,3449,0.564
academician,0.333333333,0.079365079,0,0.095238095,0.007,0.422,0.476190476,0.333333333,0.031746032,0,0,0,0,0,0.079365079,0.063492063,0,0,0.047619048,0,0.428571429,0.015873016,1,0,156,0.686
academy,0.048132019,0.001833601,0,0.017190007,0.206,0.024,0.92573917,0.046527619,0.008709603,0.007105203,0,0,0,0,0.001833601,0.002979601,0,0,0.004125602,0,0.921613569,0.007105203,1,0,7216,0.047
accelerando,0.666666667,0,0,0,0.25,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,1,0,8,0.125
acceleration,0.207446809,0.005319149,0.002659574,0.140957447,0.502,0.021,0.643617021,0.207446809,0.007978723,0.125,0,0,0,0,0.005319149,0.007978723,0,0,0.039893617,0,0.603723404,0.002659574,0,1,1293,0.044
accelerator,0.1625,0,0,0.003125,0.044,0.127,0.834375,0.1625,0,0.003125,0,0,0,0,0,0,0,0,0.03125,0,0.803125,0,1,0,529,0.149
accent,0.692612137,0.003298153,0,0.017150396,0.131,0.124,0.285620053,0.692612137,0.003957784,0.000659631,0,0,0,0,0.003298153,0.013852243,0,0,0.045514512,0,0.240105541,0,1,1,3507,0.196
accentuation,0.411764706,0,0.058823529,0,0.351,0,0.588235294,0.411764706,0,0,0,0,0,0,0,0,0,0,0,0,0.588235294,0,1,1,37,0.027
acceptability,0.006289308,0,0,0,0.504,0,0.993710692,0.006289308,0,0,0,0,0,0,0,0,0,0,0.006289308,0,0.987421384,0,0,1,538,0
acceptance,0.293004115,0.001646091,0,0.125102881,0.455,0.031,0.553909465,0.271604938,0.083950617,0.06255144,0,0,0,0.000823045,0.000823045,0.006584362,0,0,0.069135802,0,0.484773663,0.019753086,1,1,5094,0.072
acceptation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
access,0.146079484,0.012889366,0.023630505,0.071965628,0.821,0.002,0.738990333,0.13104189,0.025778733,0.034371643,0.002148228,0,0,0.002148228,0.009667025,0.024704619,0,0.001074114,0.118152524,0,0.619763695,0.030075188,0,1,19874,0.003
accessibility,0.033112583,0,0,0,0.474,0,0.927152318,0.033112583,0,0,0,0,0,0,0,0,0,0,0.059602649,0,0.867549669,0.039735099,0,1,807,0
accession,0.030927835,0.020618557,0,0.12371134,0.32,0.075,0.762886598,0.030927835,0.010309278,0.082474227,0,0,0.020618557,0,0,0.030927835,0,0,0.06185567,0,0.701030928,0.06185567,1,1,434,0.136
accessory,0.383663366,0.03960396,0,0.128712871,0.033,0.364,0.428217822,0.378712871,0.076732673,0.007425743,0,0,0,0,0.03960396,0.061881188,0.002475248,0,0.143564356,0,0.282178218,0.007425743,1,0,1711,0.781
accident,0.579041559,0.013322728,0,0.041956651,0.163,0.174,0.347981706,0.574666932,0.021674289,0.009345794,0.000994233,0,0.00178962,0.000795387,0.010340028,0.014913502,0,0,0.045337045,0,0.302644661,0.017299662,1,1,8901,0.233
acclaim,0,0,0,0.01754386,0.712,0,0.964912281,0,0,0,0,0,0,0,0,0.01754386,0,0,0.105263158,0,0.859649123,0.01754386,0,1,432,0
acclamation,0.25,0,0,0,0.549,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0.666666667,0,0,1,51,0.098
acclimation,0.333333333,0,0,0,0.722,0,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,1,28,0
acclimatization,0,1,0,0,0.929,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,19,0
acclivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
accolade,0.078947368,0.035087719,0,0.122807018,0.02,0.4,0.754385965,0.070175439,0.01754386,0,0,0,0,0,0.035087719,0.114035088,0,0,0.157894737,0,0.596491228,0.00877193,1,0,304,0.845
accommodation,0.315498155,0.011070111,0.001845018,0.077490775,0.235,0.339,0.584870849,0.3099631,0.02398524,0.018450185,0,0,0.001845018,0,0.009225092,0.042435424,0,0,0.147601476,0,0.437269373,0.009225092,1,1,2407,0.532
accommodations,0,0,0,0.5,0.154,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,22,0
accompaniment,0.428571429,0,0,0.032142857,0.24,0.178,0.539285714,0.425,0.014285714,0.003571429,0,0,0,0,0,0.017857143,0,0,0.039285714,0,0.5,0,1,0,660,0.265
accompanist,0.527777778,0,0,0.027777778,0.068,0.051,0.416666667,0.527777778,0.027777778,0,0,0,0,0,0,0,0,0,0.027777778,0,0.388888889,0.027777778,1,0,60,0.1
accomplice,0.735449735,0.026455026,0,0.100529101,0.03,0.152,0.126984127,0.735449735,0.095238095,0.005291005,0,0,0,0,0.026455026,0,0,0,0.015873016,0,0.111111111,0.010582011,1,0,382,0.356
accomplishment,0.325128205,0.05025641,0.002051282,0.106666667,0.177,0.128,0.513846154,0.30974359,0.045128205,0.011282051,0.001025641,0,0,0,0.05025641,0.065641026,0,0,0.100512821,0,0.413333333,0.003076923,1,1,3230,0.533
accord,0.208838204,0.002851033,0.001425517,0.029935852,0.22,0.082,0.680684248,0.203848895,0.011404134,0.007840342,0,0,0,0,0.002851033,0.016393443,0,0,0.066999287,0,0.613684961,0.076977904,1,1,2531,0.232
accordance,0.333333333,0,0,0,0.994,0,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,1,1444,0
accordion,0.482269504,0.007092199,0,0.007092199,0.068,0.078,0.503546099,0.482269504,0,0.007092199,0,0,0,0,0.007092199,0,0,0,0.007092199,0,0.496453901,0,1,0,313,0.089
accouchement,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
account,0.427548377,0.026359896,0.000304739,0.077860734,0.215,0.208,0.450708517,0.415663568,0.033673625,0.011732439,0.001218955,0.000152369,0.000914216,0.001980801,0.023007771,0.046777388,0,0,0.125704708,0,0.325003809,0.01401798,1,1,19537,0.356
accountancy,0,0,0,0.5,0.765,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,30,0
accountant,0.631884058,0.008695652,0,0.031884058,0.055,0.232,0.31884058,0.633333333,0.020289855,0.002898551,0,0,0,0,0.008695652,0.008695652,0,0,0.020289855,0,0.297101449,0.007246377,1,0,1478,0.422
accoutrements,0.020408163,0.020408163,0,0.06122449,0.008,0,0.87755102,0,0,0.020408163,0,0,0,0,0.020408163,0.06122449,0,0,0.020408163,0,0.857142857,0.020408163,0,0,126,0
accretion,0.23880597,0,0,0.029850746,0.308,0.096,0.701492537,0.23880597,0,0.014925373,0,0,0,0,0,0.014925373,0,0,0.074626866,0,0.626865672,0.029850746,1,1,232,0.151
accumulation,0.244444444,0,0.001851852,0.011111111,0.354,0.046,0.742592593,0.246296296,0.003703704,0.003703704,0,0,0,0,0,0.003703704,0,0.001851852,0.053703704,0,0.687037037,0,1,1,1178,0.075
accumulator,0.368421053,0,0,0.210526316,0,0.312,0.368421053,0.315789474,0.105263158,0,0,0,0,0,0,0.157894737,0,0,0,0,0.368421053,0.052631579,1,0,36,0.583
accuracy,0.090271691,0.001752848,0.002629273,0.030674847,0.512,0.006,0.85363716,0.087642419,0,0.029798422,0,0,0,0,0.001752848,0.003505697,0,0.000876424,0.040315513,0,0.812445223,0.023663453,1,1,4123,0.007
accusation,0.205069124,0.019585253,0,0.096774194,0.044,0.38,0.669354839,0.203917051,0.005760369,0.005760369,0,0,0,0,0.019585253,0.087557604,0,0,0.102534562,0,0.566820276,0.008064516,1,1,2167,0.681
accusative,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
accused,0,0,0,0.142857143,0.853,0,0.857142857,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0.857142857,0,0,0,77,0
accuser,0.03649635,0.02919708,0,0.02919708,0.028,0.067,0.905109489,0.02919708,0.02919708,0,0,0,0,0.00729927,0.02189781,0.00729927,0,0,0.02189781,0,0.883211679,0,1,0,293,0.352
ace,0.422077922,0.006493506,0,0.071428571,0.724,0.006,0.409090909,0.402597403,0.032467532,0.032467532,0,0,0,0.003246753,0.003246753,0.025974026,0,0,0.025974026,0,0.383116883,0.090909091,1,0,2604,0.01
acerbity,0,0,0,0,0.333,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.6,0,1,1,12,0.083
acetate,0.142857143,0,0.071428571,0,0.595,0.014,0.714285714,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714,0.142857143,0,1,91,0.077
acetyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
acetylene,1,0,0,0,0.565,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0
ache,0.381044487,0.013539652,0,0.025145068,0.107,0.146,0.578336557,0.375241779,0.005802708,0,0,0,0,0,0.013539652,0.025145068,0,0,0.03868472,0,0.539651838,0.001934236,1,0,1053,0.356
achievement,0.216454456,0.012242899,0.001469148,0.068560235,0.45,0.058,0.696865818,0.212047013,0.032321254,0.003917728,0,0,0,0,0.012242899,0.037218413,0,0,0.077864838,0,0.618511263,0.005386876,1,1,12263,0.163
achilles,0.274193548,0,0,0,0.054,0,0.725806452,0.274193548,0,0,0,0,0,0,0,0,0,0,0,0,0.725806452,0,0,0,387,0
acid,0.217625899,0.010791367,0.001798561,0.154676259,0.463,0.211,0.597122302,0.210431655,0.059352518,0.050359712,0,0,0,0,0.010791367,0.053956835,0,0,0.124100719,0,0.473021583,0.017985612,1,1,3879,0.246
acidity,0.067567568,0,0.013513514,0.027027027,0.492,0,0.905405405,0.067567568,0,0.027027027,0,0,0,0,0,0,0,0,0.135135135,0,0.77027027,0,0,1,273,0
ack-ack,1,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0
acknowledgement,0.516339869,0,0,0.019607843,0.317,0.205,0.45751634,0.516339869,0,0.006535948,0,0,0,0,0,0.013071895,0,0,0.137254902,0,0.320261438,0.006535948,1,1,492,0.226
acme,0.075,0,0,0.05,0.424,0,0.8,0.075,0,0.05,0,0,0,0,0,0,0,0,0,0,0.8,0.075,0,0,154,0
acne,0.090909091,0,0,0,0.702,0.007,0.863636364,0.090909091,0,0,0,0,0,0,0,0,0,0,0.136363636,0,0.727272727,0.045454545,0,1,463,0.006
acolyte,0.386138614,0.01980198,0,0.069306931,0.043,0.219,0.524752475,0.376237624,0.059405941,0,0.00990099,0,0,0,0.01980198,0.00990099,0,0,0.00990099,0,0.514851485,0,1,0,214,0.533
aconite,0,0,0,0,0.5,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0.5
acorn,0.326732673,0.00990099,0,0.059405941,0.32,0.253,0.603960396,0.326732673,0.01980198,0.01980198,0,0,0,0,0.00990099,0.01980198,0,0,0.069306931,0,0.534653465,0,1,0,508,0.317
acoustic,0.016129032,0,0,0.016129032,0.063,0.475,0.951612903,0.016129032,0,0,0,0,0,0,0,0.016129032,0,0,0,0,0.951612903,0.016129032,0,0,280,0.779
acoustics,0,0,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0
acquaintance,0.735294118,0.047385621,0,0.058823529,0.058,0.211,0.150326797,0.723856209,0.047385621,0.001633987,0.003267974,0,0,0,0.047385621,0.017973856,0,0,0.060457516,0,0.088235294,0.008169935,1,1,1752,0.447
acquaintanceship,1,0,0,0,0.3,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0.143
acquiescence,0.075471698,0,0,0.018867925,0.472,0.003,0.905660377,0.075471698,0,0,0,0,0,0,0,0.018867925,0,0,0.075471698,0,0.830188679,0,0,1,302,0.003
acquirement,0,0,0,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0.5
acquisition,0.101017442,0.011627907,0.000726744,0.042877907,0.272,0.117,0.822674419,0.099563953,0.018168605,0.003633721,0,0,0.000726744,0,0.010901163,0.023982558,0,0,0.038517442,0,0.783430233,0.020348837,1,1,4162,0.218
acquisitiveness,0,0,0,0,0.538,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26,0
acquittal,0.391304348,0.010869565,0,0.043478261,0.263,0.081,0.532608696,0.380434783,0.032608696,0.010869565,0,0,0,0,0.010869565,0.010869565,0,0,0.076086957,0,0.456521739,0.02173913,1,1,215,0.163
acre,0.069850961,0.19303286,0,0.481414976,0.066,0.079,0.021188723,0.063027474,0.103968396,0.350332196,0.029448734,0.016160891,0.037349614,0.084395762,0.034656132,0.009696534,0.000718262,0.001436524,0.003411744,0,0.015622194,0.228945951,1,0,6736,0.833
acreage,0.043010753,0,0.005376344,0.010752688,0.395,0.046,0.919354839,0.043010753,0,0.005376344,0,0,0,0,0,0.005376344,0,0.010752688,0.129032258,0,0.779569892,0.02688172,0,1,531,0.056
acrimony,0.03125,0,0,0,0.481,0,0.96875,0.03125,0,0,0,0,0,0,0,0,0,0,0.125,0,0.84375,0,0,1,108,0
acrobat,0.466666667,0.033333333,0,0.088888889,0.075,0.272,0.388888889,0.466666667,0.044444444,0.011111111,0,0,0,0,0.033333333,0.033333333,0,0,0.044444444,0,0.344444444,0.022222222,1,0,194,0.479
acrobatics,0,0.071428571,0,0,0,0,0.928571429,0,0,0,0,0,0,0,0.071428571,0,0,0,0.285714286,0,0.642857143,0,0,1,104,0
acronym,0.443037975,0,0,0.046413502,0.045,0.158,0.510548523,0.443037975,0,0,0,0,0,0,0,0.046413502,0,0,0.025316456,0,0.481012658,0,1,0,433,0.236
acropolis,0.049382716,0,0,0,0.173,0,0.950617284,0.049382716,0,0,0,0,0,0,0,0,0,0,0.024691358,0,0.925925926,0,0,0,122,0
acrostic,0.416666667,0.083333333,0,0,0,0.368,0.5,0.416666667,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0.5,0,1,0,20,0.45
acrylic,0.181818182,0,0,0.090909091,0.221,0.484,0.636363636,0.181818182,0,0,0,0,0,0,0,0.090909091,0,0,0.090909091,0,0.545454545,0.090909091,1,0,119,0.529
act,0.222076515,0.005986658,0.0021666,0.04310394,0.13,0.107,0.692228747,0.213866241,0.018131022,0.01220138,0.000171047,0,0.000627174,0.000228063,0.005074406,0.021095844,0,0,0.056559667,0,0.63566908,0.03631906,1,0,27740,0.173
acting,0.085365854,0,0,0.048780488,0.696,0,0.841463415,0.073170732,0.012195122,0.048780488,0,0,0,0,0,0,0,0,0.073170732,0,0.768292683,0.024390244,0,1,634,0
action,0.168653225,0.010916787,0.005012811,0.088114069,0.411,0.127,0.723961234,0.163306227,0.014147265,0.009134455,0.000556979,0,0.000222792,0.000111396,0.0105826,0.070067951,0,0.000222792,0.164977164,0,0.558761279,0.007909101,1,1,39608,0.298
activation,0.086206897,0,0,0.025862069,0.632,0.016,0.879310345,0.086206897,0,0.00862069,0,0,0,0,0,0.017241379,0,0,0.103448276,0,0.775862069,0.00862069,0,1,672,0.019
