Noun,A+N,F+N,all+N,O-Den,Bare Singular,Bare Plural,Non-Denumerators,a/an,number,digits,plural numeral,approximative,comparative,round numbers,imprecise quantifier,precise quantifier,non denumerating quantifier,measure,non quantificational,partitive,the,N/A,Celex_Countable,Celex_Uncountable,Noun Count,Plural Noun Percentage
straits,0,0,0,0,0.126,0,0.988505747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988505747,0.011494253,0,0,155,0
strand,0.312887237,0.082403965,0,0.187732342,0.098,0.288,0.403345725,0.281908302,0.128872367,0.022924411,0.001858736,0,0,0.001239157,0.078686493,0.074349442,0,0.000619579,0.034696406,0,0.367410161,0.006195787,1,0,2936,0.546
strangeness,0.043165468,0,0.007194245,0.007194245,0.265,0.007,0.949640288,0.043165468,0,0,0,0,0,0,0,0.007194245,0,0,0.064748201,0,0.884892086,0,0,1,274,0.011
stranger,0.492829564,0.013237728,0,0.066464424,0.094,0.33,0.424710425,0.487038058,0.033645891,0.015719801,0.00275786,0.000275786,0.000551572,0.00137893,0.00965251,0.022062879,0,0.000275786,0.079426365,0,0.342801986,0.00137893,1,0,6980,0.421
stranglehold,0.528089888,0,0,0,0.015,0,0.471910112,0.528089888,0,0,0,0,0,0,0,0,0,0,0.02247191,0,0.449438202,0,1,0,131,0
strangulation,0.25,0,0,0,0.723,0.011,0.666666667,0.25,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.5,0.083333333,0,1,105,0.01
strap,0.235294118,0.006238859,0,0.049019608,0.116,0.2,0.705882353,0.219251337,0.042780749,0.005347594,0,0,0,0,0.006238859,0.016934046,0,0,0.016042781,0,0.688948307,0.003565062,1,1,2269,0.47
straphanger,0,0,0,0,0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0.8
stratagem,0.518518519,0,0,0.055555556,0.043,0.191,0.425925926,0.518518519,0,0.018518519,0,0,0,0,0,0.037037037,0,0,0.148148148,0,0.277777778,0,1,1,116,0.448
strategist,0.540740741,0.054320988,0,0.041975309,0.15,0.262,0.358024691,0.52345679,0.037037037,0,0.004938272,0,0,0,0.054320988,0.017283951,0,0,0.10617284,0,0.251851852,0.004938272,1,0,1068,0.406
strategy,0.376771488,0.021551363,0,0.10951782,0.087,0.305,0.486624738,0.359412998,0.048888889,0.012997904,8.39E-05,0,0,0,0.021551363,0.06591195,0,0,0.143731656,0,0.342809224,0.004528302,1,1,28525,0.47
stratification,0.233333333,0.016666667,0,0.016666667,0.612,0.014,0.733333333,0.233333333,0,0,0,0,0,0,0.016666667,0.016666667,0,0,0.1,0,0.633333333,0,1,1,328,0.018
stratosphere,0.024291498,0,0,0.016194332,0.027,0,0.95951417,0.024291498,0,0,0,0,0,0,0,0.016194332,0,0,0,0,0.95951417,0,0,0,272,0.007
stratum,0.344370861,0,0,0.119205298,0.105,0.006,0.536423841,0.337748344,0.013245033,0,0,0,0,0,0,0.112582781,0,0,0.119205298,0,0.417218543,0,1,0,194,0.01
straw,0.289800995,0.01119403,0,0.021144279,0.329,0.103,0.675373134,0.28358209,0.014925373,0.008706468,0,0,0,0,0.009950249,0.004975124,0,0,0.038557214,0,0.635572139,0.001243781,1,1,2679,0.091
strawberry,0.27027027,0.019305019,0,0.131274131,0.193,0.45,0.498069498,0.258687259,0.05019305,0.115830116,0,0,0,0,0.019305019,0.023166023,0,0,0.081081081,0,0.416988417,0.034749035,1,1,2146,0.465
strawboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
stray,0.032258065,0.193548387,0,0.129032258,0.048,0.512,0.612903226,0.032258065,0.064516129,0.032258065,0,0,0,0,0.193548387,0.032258065,0,0,0.193548387,0,0.419354839,0.032258065,1,0,92,0.859
streak,0.63642092,0.007561437,0,0.025204789,0.149,0.145,0.321991178,0.63642092,0.013862634,0.002520479,0,0.00063012,0.00063012,0,0.005671078,0.012602394,0,0,0.046628859,0,0.275362319,0.005671078,1,0,3268,0.205
streaker,0.5,0,0,0.166666667,0.125,0.125,0.333333333,0.5,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0.333333333,0,1,0,9,0.333
stream,0.439951476,0.010109179,0.000202184,0.044278205,0.08,0.175,0.500404367,0.436312171,0.027699151,0.003639304,0.002628387,0,0.000404367,0.000404367,0.008896078,0.015568136,0,0,0.031945006,0,0.468459361,0.004043672,1,0,8247,0.281
streamer,0.357142857,0.057142857,0,0.042857143,0.028,0.508,0.485714286,0.357142857,0.028571429,0,0,0,0,0,0.057142857,0.014285714,0,0,0.057142857,0,0.428571429,0.057142857,1,0,270,0.741
streamlet,0.5,0,0,0,0,0.4,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,5,0.8
streamline,0,0.5,0,0,0.3,0.4,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,16,0.312
street,0.074015686,0.003862373,0.000157648,0.043904938,0.286,0.059,0.851022741,0.070232137,0.008355338,0.030189572,0.000275884,0,0.000118236,0.00019706,0.003507666,0.009025342,0,0,0.015331258,0,0.835652071,0.027076026,1,0,53122,0.206
streetcar,0.378947368,0,0,0.021052632,0.072,0.155,0.589473684,0.378947368,0.015789474,0,0,0,0,0,0,0.005263158,0.005263158,0,0.010526316,0,0.573684211,0.010526316,1,0,368,0.245
streetwalker,0.764705882,0.058823529,0,0,0,0.394,0.176470588,0.764705882,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0.176470588,0,1,0,34,0.559
strength,0.092307692,0.007918552,0.002941176,0.044117647,0.301,0.06,0.851357466,0.089366516,0.019909502,0.008823529,0,0,0,0,0.007918552,0.019230769,0,0.001131222,0.057013575,0,0.79321267,0.003393665,1,1,14748,0.174
strenuousness,0,0,0,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0
streptococcus,0.25,0.25,0,0,0.383,0.213,0.125,0.5,0,0,0,0,0,0,0.25,0,0,0,0.125,0,0,0.125,1,0,69,0.319
streptomycin,0,0,0,0.25,0.698,0,0.75,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.75,0,0,1,51,0
stress,0.062668828,0.006482982,0.002160994,0.031334414,0.633,0.055,0.890329552,0.060507834,0.006482982,0.00378174,0,0,0,0,0.006482982,0.023230686,0,0.000540249,0.13830362,0,0.751485683,0.009184225,1,1,12316,0.082
stress-mark,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
stretch,0.475542598,0.006802721,0,0.03239391,0.115,0.118,0.473922902,0.45675413,0.031422093,0.003887269,0,0,0,0,0.006478782,0.019436346,0.000971817,0,0.144800777,0,0.327826369,0.008098477,1,1,4856,0.176
stretcher,0.562674095,0.002785515,0,0.027855153,0.035,0.134,0.403899721,0.562674095,0.022284123,0,0,0,0,0,0.002785515,0.005571031,0,0,0.011142061,0,0.39275766,0.002785515,1,0,528,0.216
stretcher-bearer,0.5,0,0,0,0,0.667,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,6,0.833
stretchiness,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
striation,0,0.043478261,0,0.217391304,0,0.4,0.739130435,0,0.043478261,0,0,0,0,0,0.043478261,0.173913043,0,0,0.043478261,0,0.695652174,0,1,1,50,0.92
strictness,0.058823529,0,0,0,0.491,0,0.941176471,0.058823529,0,0,0,0,0,0,0,0,0,0,0.235294118,0,0.705882353,0,0,1,62,0
stricture,0.113821138,0.016260163,0,0.073170732,0.035,0.243,0.796747967,0.113821138,0,0,0,0,0,0,0.016260163,0.073170732,0,0,0.040650407,0,0.756097561,0,1,0,256,0.828
stride,0.329718004,0.084598698,0,0.240780911,0.256,0.334,0.305856833,0.314533623,0.177874187,0.013015184,0.002169197,0,0.004338395,0,0.071583514,0.095444685,0.002169197,0.002169197,0.073752711,0,0.227765727,0.013015184,1,0,2386,0.442
stridency,0.25,0,0,0,0.522,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,1,1,24,0
